"eventTime","eventSource","MFAUsed","sourceIPAddress","userAgent"
"2017-03-14T01:49:36Z","signin.amazonaws.com","{""LoginTo"":""https://console.aws.amazon.com/s3/home?region=us-west-2&state=hashArgs%23&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""Yes""}","255.253.125.115","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.98 Safari/537.36"
"2017-03-25T20:57:27Z","signin.amazonaws.com","{""LoginTo"":""https://console.aws.amazon.com/s3/home?region=us-west-2&state=hashArgs%23&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""Yes""}","255.253.125.115","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.98 Safari/537.36"
"2017-04-01T18:46:57Z","signin.amazonaws.com","{""LoginTo"":""https://console.aws.amazon.com/s3/home?region=us-west-2&state=hashArgs%23&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""Yes""}","255.253.125.115","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.98 Safari/537.36"
"2017-04-03T00:44:29Z","signin.amazonaws.com","{""LoginTo"":""https://console.aws.amazon.com/trustedadvisor/home?state=hashArgs%23&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""Yes""}","255.253.125.115","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.98 Safari/537.36"
"2017-04-09T21:33:24Z","signin.amazonaws.com","{""LoginTo"":""https://console.aws.amazon.com/s3/home?region=us-west-2&state=hashArgs%23&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""Yes""}","255.253.125.115","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36"
"2017-05-16T03:02:01Z","signin.amazonaws.com","{""LoginTo"":""https://console.aws.amazon.com/console/home?state=hashArgs%23&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""Yes""}","255.253.125.115","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
"2017-05-16T23:03:08Z","signin.amazonaws.com","{""LoginTo"":""https://console.aws.amazon.com/iam/home?region=us-west-2&state=hashArgs%23&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""Yes""}","255.253.125.115","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
"2017-05-24T17:20:52Z","signin.amazonaws.com","{""LoginTo"":""https://console.aws.amazon.com/trustedadvisor/home?state=hashArgs%23&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""Yes""}","255.253.125.115","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
"2017-05-26T16:12:49Z","signin.amazonaws.com","{""LoginTo"":""https://console.aws.amazon.com/s3/home?region=us-west-2&state=hashArgs%23&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""Yes""}","255.253.125.115","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
"2017-05-28T16:40:16Z","signin.amazonaws.com","{""LoginTo"":""https://console.aws.amazon.com/s3/home?region=us-west-2&state=hashArgs%23&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""Yes""}","255.253.125.115","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
