"eventTime","sourceIPAddress","errorMessage","awsRegion","UserName","MFAUsed"
"2017-05-17T23:23:34Z","8.120.255.102","No username found in supplied account","us-east-1","HIDDEN_DUE_TO_SECURITY_REASONS","{""LoginTo"":""https://console.aws.amazon.com/iam/home?region=us-west-2&state=hashArgs%23&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""No""}"
"2017-05-17T23:23:41Z","8.120.255.102","No username found in supplied account","us-east-1","HIDDEN_DUE_TO_SECURITY_REASONS","{""LoginTo"":""https://console.aws.amazon.com/iam/home?region=us-west-2&state=hashArgs%23&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""No""}"
"2017-05-24T17:20:52Z","255.253.125.115",,"us-east-1",,"{""LoginTo"":""https://console.aws.amazon.com/trustedadvisor/home?state=hashArgs%23&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""Yes""}"
"2017-05-26T16:12:49Z","255.253.125.115",,"us-east-1",,"{""LoginTo"":""https://console.aws.amazon.com/s3/home?region=us-west-2&state=hashArgs%23&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""Yes""}"
"2017-05-28T16:40:16Z","255.253.125.115",,"us-east-1",,"{""LoginTo"":""https://console.aws.amazon.com/s3/home?region=us-west-2&state=hashArgs%23&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""Yes""}"
"2017-05-29T16:30:01Z","255.253.125.115",,"us-east-1",,"{""LoginTo"":""https://console.aws.amazon.com/s3/home?region=us-west-2&state=hashArgs%23&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""Yes""}"
"2017-05-31T19:07:35Z","255.253.125.115",,"us-east-1",,"{""LoginTo"":""https://console.aws.amazon.com/s3/home?region=us-west-2&state=hashArgs%23&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""Yes""}"
"2017-06-29T12:45:45Z","255.253.125.115",,"us-east-1",,"{""LoginTo"":""https://console.aws.amazon.com/iam/home?region=us-west-2&state=hashArgs%23&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""Yes""}"
"2017-07-09T00:29:06Z","4.215.200.148",,"us-east-1",,"{""LoginTo"":""https://console.aws.amazon.com/iam/home?region=us-west-2&state=hashArgs%23&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""Yes""}"
"2017-07-11T02:32:32Z","255.253.125.115",,"us-east-1",,"{""LoginTo"":""https://console.aws.amazon.com/s3/home?region=us-west-2&state=hashArgs%23&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""Yes""}"
"2017-07-12T20:23:49Z","255.253.125.115",,"us-east-1",,"{""LoginTo"":""https://console.aws.amazon.com/iam/home?state=hashArgs%23%2Froles&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""Yes""}"
"2017-07-17T16:18:27Z","255.253.125.115",,"us-east-1",,"{""LoginTo"":""https://console.aws.amazon.com/console/home?state=hashArgs%23&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""Yes""}"
"2017-09-17T14:39:26Z","224.223.84.255",,"us-east-1",,"{""LoginTo"":""https://console.aws.amazon.com/iam/home?region=us-east-2&state=hashArgs%23%2Froles%2FSummitRouteAudit&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""Yes""}"
"2017-09-17T14:51:38Z","224.223.84.255",,"us-east-1","piper","{""LoginTo"":""https://console.aws.amazon.com/console/home?state=hashArgs%23&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""Yes""}"
"2017-10-09T03:30:46Z","224.223.84.255",,"us-east-1",,"{""LoginTo"":""https://console.aws.amazon.com/console/home?state=hashArgs%23&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""Yes""}"
"2018-02-26T01:12:46Z","231.17.3.165","No username found in supplied account","us-east-1","HIDDEN_DUE_TO_SECURITY_REASONS","{""LoginTo"":""https://console.aws.amazon.com/console/home?state=hashArgs%23&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""No""}"
"2018-02-26T18:45:36Z","12.80.110.252","No username found in supplied account","us-east-1","HIDDEN_DUE_TO_SECURITY_REASONS","{""LoginTo"":""https://console.aws.amazon.com/console/home?state=hashArgs%23&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""No""}"
"2018-02-26T18:45:51Z","12.80.110.252","No username found in supplied account","us-east-1","HIDDEN_DUE_TO_SECURITY_REASONS","{""LoginTo"":""https://console.aws.amazon.com/console/home?state=hashArgs%23&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""No""}"
"2018-02-26T18:46:19Z","12.80.110.252","No username found in supplied account","us-east-1","HIDDEN_DUE_TO_SECURITY_REASONS","{""LoginTo"":""https://console.aws.amazon.com/console/home?state=hashArgs%23&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""No""}"
"2018-02-26T18:47:44Z","12.80.110.252","No username found in supplied account","us-east-1","HIDDEN_DUE_TO_SECURITY_REASONS","{""LoginTo"":""https://console.aws.amazon.com/console/home?state=hashArgs%23&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""No""}"
"2018-02-26T19:04:39Z","12.80.110.252","No username found in supplied account","us-east-1","HIDDEN_DUE_TO_SECURITY_REASONS","{""LoginTo"":""https://console.aws.amazon.com/console/home?state=hashArgs%23&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""No""}"
"2018-03-17T17:31:20Z","104.255.115.244","No username found in supplied account","us-east-1","HIDDEN_DUE_TO_SECURITY_REASONS","{""LoginTo"":""https://console.aws.amazon.com/console/home?state=hashArgs%23&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""No""}"
"2018-03-20T00:21:22Z","224.223.84.255",,"us-east-1",,"{""AFAUsed"":""Yes""}"
"2020-05-22T18:09:17Z","252.1.22.60",,"us-east-1",,"{""LoginTo"":""https://console.aws.amazon.com/console/home?state=hashArgs%23&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""Yes""}"
"2020-08-06T15:57:23Z","252.1.22.60",,"us-east-1",,"{""LoginTo"":""https://console.aws.amazon.com/console/home?region=us-east-1&state=hashArgs%23&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""Yes""}"
"2019-08-23T15:47:30Z","228.139.46.252",,"us-east-1",,"{""LoginTo"":""https://console.aws.amazon.com/console/home?state=hashArgs%23&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""Yes""}"
"2018-05-17T18:53:14Z","252.250.127.237",,"us-east-1",,"{""MobileVersion"":""No"",""MFAUsed"":""No""}"
"2018-06-03T13:46:21Z","143.110.253.220",,"us-east-1",,"{""LoginTo"":""https://console.aws.amazon.com/console/home?state=hashArgs%23&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""Yes""}"
"2018-06-16T14:32:40Z","143.110.253.220",,"us-east-1",,"{""LoginTo"":""https://console.aws.amazon.com/console/home?state=hashArgs%23&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""Yes""}"
"2018-07-05T18:49:34Z","250.251.253.3",,"us-east-1",,"{""LoginTo"":""https://console.aws.amazon.com/console/home?state=hashArgs%23&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""Yes""}"
"2018-07-06T04:14:52Z","250.251.253.3",,"us-east-1",,"{""LoginTo"":""https://console.aws.amazon.com/console/home?state=hashArgs%23&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""Yes""}"
"2018-07-06T22:30:23Z","250.251.253.3",,"us-east-1",,"{""LoginTo"":""https://us-west-2.console.aws.amazon.com/athena/home?force=&region=us-west-2&state=hashArgs%23query%2Fhistory%2F504408db6-fcea-4050-9cf1-e5cf3e94da9c&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""Yes""}"
"2018-07-07T15:29:55Z","250.251.253.3",,"us-east-1",,"{""LoginTo"":""https://s3.console.aws.amazon.com/s3/buckets/flaws-logs/cloudtrail/AWSLogs/811596193553/CloudTrail/us-east-1/2018/07/06/?region=us-west-2&state=hashArgs%23&tab=overview&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""Yes""}"
"2018-07-10T16:45:55Z","250.251.253.3",,"us-east-1",,"{""LoginTo"":""https://s3.console.aws.amazon.com/s3/buckets/flaws-logs/?region=us-west-2&state=hashArgs%23&tab=overview&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""Yes""}"
"2018-08-05T16:50:57Z","250.251.253.3",,"us-east-1",,"{""LoginTo"":""https://console.aws.amazon.com/console/home?state=hashArgs%23&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""Yes""}"
"2018-08-18T03:19:14Z","84.251.178.39",,"us-east-1",,"{""LoginTo"":""https://console.aws.amazon.com/console/home?region=us-east-1&state=hashArgs%23&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""Yes""}"
"2018-08-19T20:52:22Z","84.251.178.39",,"us-east-1",,"{""LoginTo"":""https://console.aws.amazon.com/iam/home?state=hashArgs%23%2Fusers&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""Yes""}"
"2018-08-20T13:55:18Z","84.251.178.39",,"us-east-1",,"{""LoginTo"":""https://console.aws.amazon.com/console/home?region=us-east-1&state=hashArgs%23&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""Yes""}"
"2018-08-28T14:26:29Z","2.251.230.253",,"us-east-1",,"{""LoginTo"":""https://console.aws.amazon.com/console/home?state=hashArgs%23&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""Yes""}"
"2018-09-30T23:46:06Z","2.251.230.253",,"us-east-1",,"{""LoginTo"":""https://console.aws.amazon.com/console/home?state=hashArgs%23&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""Yes""}"
"2018-10-02T14:35:18Z","2.251.230.253",,"us-east-1",,"{""LoginTo"":""https://us-west-2.console.aws.amazon.com/console/home?region=us-west-2&state=hashArgs%23&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""Yes""}"
"2018-10-10T18:18:23Z","177.0.248.145",,"us-east-1",,"{""LoginTo"":""https://console.aws.amazon.com/console/home?state=hashArgs%23&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""Yes""}"
"2018-10-16T20:30:07Z","130.6.32.124",,"us-east-1",,"{""LoginTo"":""https://console.aws.amazon.com/console/home?state=hashArgs%23&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""Yes""}"
"2018-10-23T14:35:05Z","130.6.32.124",,"us-east-1",,"{""LoginTo"":""https://console.aws.amazon.com/iam/home?state=hashArgs%23%2Froles%2FSummitRouteAudit&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""Yes""}"
"2018-11-13T16:48:47Z","163.251.223.26",,"us-east-1",,"{""LoginTo"":""https://console.aws.amazon.com/console/home?state=hashArgs%23&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""Yes""}"
"2018-12-02T15:35:27Z","130.6.32.124",,"us-east-1",,"{""LoginTo"":""https://console.aws.amazon.com/console/home?state=hashArgs%23&isauthcode=true"",""MobileVersion"":""No"",""MFAUsed"":""Yes""}"
