"eventtime","user_arn","bucketName","bucket_acl","sourceipaddress","eventname","awsregion","acl_details","useragent"
"2017-02-26T18:28:54Z","arn:aws:iam::811596193553:root","""level3-2644b9e749c3d14e400f847199800c14.flaws.cloud""","[""""]","255.253.125.115","PutBucketAcl","us-west-2","[{""Grantee"":{""xsi:type"":""CanonicalUser"",""xmlns:xsi"":""http://www.w3.org/2001/XMLSchema-instance"",""ID"":""7d79b9616666995a08fc65840d243ee59b2db2e7ae658207c69aa2ae138f6e22""},""Permission"":""READ""},{""Grantee"":{""xsi:type"":""CanonicalUser"",""xmlns:xsi"":""http://www.w3.org/2001/XMLSchema-instance"",""ID"":""7d79b9616666995a08fc65840d243ee59b2db2e7ae658207c69aa2ae138f6e22""},""Permission"":""WRITE""},{""Grantee"":{""xsi:type"":""CanonicalUser"",""xmlns:xsi"":""http://www.w3.org/2001/XMLSchema-instance"",""ID"":""7d79b9616666995a08fc65840d243ee59b2db2e7ae658207c69aa2ae138f6e22""},""Permission"":""READ_ACP""},{""Grantee"":{""xsi:type"":""CanonicalUser"",""xmlns:xsi"":""http://www.w3.org/2001/XMLSchema-instance"",""ID"":""7d79b9616666995a08fc65840d243ee59b2db2e7ae658207c69aa2ae138f6e22""},""Permission"":""WRITE_ACP""},{""Grantee"":{""xsi:type"":""Group"",""xmlns:xsi"":""http://www.w3.org/2001/XMLSchema-instance"",""URI"":""http://acs.amazonaws.com/groups/global/AllUsers""},""Permission"":""READ""}]","[S3Console/0.4]"
"2017-02-26T18:29:02Z","arn:aws:iam::811596193553:root","""level3-2644b9e749c3d14e400f847199800c14.flaws.cloud""","[""""]","255.253.125.115","PutBucketAcl","us-west-2","[{""Grantee"":{""xsi:type"":""CanonicalUser"",""xmlns:xsi"":""http://www.w3.org/2001/XMLSchema-instance"",""ID"":""7d79b9616666995a08fc65840d243ee59b2db2e7ae658207c69aa2ae138f6e22""},""Permission"":""READ""},{""Grantee"":{""xsi:type"":""CanonicalUser"",""xmlns:xsi"":""http://www.w3.org/2001/XMLSchema-instance"",""ID"":""7d79b9616666995a08fc65840d243ee59b2db2e7ae658207c69aa2ae138f6e22""},""Permission"":""WRITE""},{""Grantee"":{""xsi:type"":""CanonicalUser"",""xmlns:xsi"":""http://www.w3.org/2001/XMLSchema-instance"",""ID"":""7d79b9616666995a08fc65840d243ee59b2db2e7ae658207c69aa2ae138f6e22""},""Permission"":""READ_ACP""},{""Grantee"":{""xsi:type"":""CanonicalUser"",""xmlns:xsi"":""http://www.w3.org/2001/XMLSchema-instance"",""ID"":""7d79b9616666995a08fc65840d243ee59b2db2e7ae658207c69aa2ae138f6e22""},""Permission"":""WRITE_ACP""},{""Grantee"":{""xsi:type"":""Group"",""xmlns:xsi"":""http://www.w3.org/2001/XMLSchema-instance"",""URI"":""http://acs.amazonaws.com/groups/global/AllUsers""},""Permission"":""READ""}]","[S3Console/0.4]"
"2020-08-15T02:00:52Z",,"""flaws.cloud""","""""","254.9.176.211","PutBucketAcl","us-west-2",,"[Boto3/1.4.7 Python/2.7.16 Linux/4.15.0-66-generic Botocore/1.7.48]"
"2020-08-16T02:00:45Z",,"""flaws.cloud""","""""","254.9.176.211","PutBucketAcl","us-west-2",,"[Boto3/1.4.7 Python/2.7.16 Linux/4.15.0-66-generic Botocore/1.7.48]"
"2020-08-16T17:14:17Z",,"""flaws.cloud""","""""","5.1.48.5","PutBucketAcl","us-west-2",,"[Boto3/1.4.7 Python/2.7.0 Java/14 Botocore/1.7.21]"
"2020-08-17T02:00:35Z",,"""flaws.cloud""","""""","254.9.176.211","PutBucketAcl","us-west-2",,"[Boto3/1.4.7 Python/2.7.16 Linux/4.15.0-66-generic Botocore/1.7.48]"
"2020-08-18T02:00:39Z",,"""flaws.cloud""","""""","254.9.176.211","PutBucketAcl","us-west-2",,"[Boto3/1.4.7 Python/2.7.16 Linux/4.15.0-66-generic Botocore/1.7.48]"
"2020-08-19T02:00:51Z",,"""flaws.cloud""","""""","254.9.176.211","PutBucketAcl","us-west-2",,"[Boto3/1.4.7 Python/2.7.16 Linux/4.15.0-66-generic Botocore/1.7.48]"
"2020-08-20T02:00:56Z",,"""flaws.cloud""","""""","254.9.176.211","PutBucketAcl","us-west-2",,"[Boto3/1.4.7 Python/2.7.16 Linux/4.15.0-66-generic Botocore/1.7.48]"
"2020-08-21T02:00:44Z",,"""flaws.cloud""","""""","254.9.176.211","PutBucketAcl","us-west-2",,"[Boto3/1.4.7 Python/2.7.16 Linux/4.15.0-66-generic Botocore/1.7.48]"
"2020-08-22T02:00:39Z",,"""flaws.cloud""","""""","254.9.176.211","PutBucketAcl","us-west-2",,"[Boto3/1.4.7 Python/2.7.16 Linux/4.15.0-66-generic Botocore/1.7.48]"
"2020-08-23T02:00:53Z",,"""flaws.cloud""","""""","254.9.176.211","PutBucketAcl","us-west-2",,"[Boto3/1.4.7 Python/2.7.16 Linux/4.15.0-66-generic Botocore/1.7.48]"
"2020-08-24T02:00:30Z",,"""flaws.cloud""","""""","254.9.176.211","PutBucketAcl","us-west-2",,"[Boto3/1.4.7 Python/2.7.16 Linux/4.15.0-66-generic Botocore/1.7.48]"
"2020-08-25T02:00:34Z",,"""flaws.cloud""","""""","254.9.176.211","PutBucketAcl","us-west-2",,"[Boto3/1.4.7 Python/2.7.16 Linux/4.15.0-66-generic Botocore/1.7.48]"
"2020-08-26T02:00:26Z",,"""flaws.cloud""","""""","254.9.176.211","PutBucketAcl","us-west-2",,"[Boto3/1.4.7 Python/2.7.16 Linux/4.15.0-66-generic Botocore/1.7.48]"
"2020-08-27T02:00:35Z",,"""flaws.cloud""","""""","254.9.176.211","PutBucketAcl","us-west-2",,"[Boto3/1.4.7 Python/2.7.16 Linux/4.15.0-66-generic Botocore/1.7.48]"
"2020-08-27T12:13:55Z",,"""flaws.cloud""","""""","9.251.88.135","PutBucketAcl","us-west-2",,"[Boto3/1.4.7 Python/3.8.5 Linux/5.7.0-kali1-amd64 Botocore/1.7.48]"
"2020-08-27T12:15:15Z",,"""flaws.cloud""","""""","9.251.88.135","PutBucketAcl","us-west-2",,"[Boto3/1.4.7 Python/3.8.5 Linux/5.7.0-kali1-amd64 Botocore/1.7.48]"
"2020-08-28T02:00:34Z",,"""flaws.cloud""","""""","254.9.176.211","PutBucketAcl","us-west-2",,"[Boto3/1.4.7 Python/2.7.16 Linux/4.15.0-66-generic Botocore/1.7.48]"
"2020-08-29T02:00:22Z",,"""flaws.cloud""","""""","254.9.176.211","PutBucketAcl","us-west-2",,"[Boto3/1.4.7 Python/2.7.16 Linux/4.15.0-66-generic Botocore/1.7.48]"
"2020-08-30T02:00:12Z",,"""flaws.cloud""","""""","254.9.176.211","PutBucketAcl","us-west-2",,"[Boto3/1.4.7 Python/2.7.16 Linux/4.15.0-66-generic Botocore/1.7.48]"
"2020-08-30T05:48:58Z",,"""flaws.cloud""","""""","205.31.23.3","PutBucketAcl","us-west-2",,"[Boto3/1.4.7 Python/2.7.2 Java/1.8.0_261 Botocore/1.7.21]"
"2020-08-31T02:00:12Z",,"""flaws.cloud""","""""","254.9.176.211","PutBucketAcl","us-west-2",,"[Boto3/1.4.7 Python/2.7.16 Linux/4.15.0-66-generic Botocore/1.7.48]"
