"occurrences","user_arn","source_ip_address","user_agent"
"34","arn:aws:iam::811596193553:user/Level6","3.170.100.213","aws-sdk-nodejs/2.413.0 linux/v12.0.0 callback"
"34","arn:aws:iam::811596193553:user/Level6","6.6.251.67","AWSPowerShell/3.3.542.0 .NET_Runtime/4.0 .NET_Framework/4.0 OS/Microsoft_Windows_NT_10.0.53329.0 WindowsPowerShell/5.0 ClientSync"
"32","arn:aws:iam::811596193553:user/backup","84.239.80.5","Boto3/1.14.6 Python/3.8.4 Linux/5.5.0-kali2-amd64 Botocore/1.17.6"
"32","arn:aws:iam::811596193553:user/Level6","97.48.203.115","aws-sdk-nodejs/2.395.0 darwin/v11.6.0 callback"
"32","arn:aws:iam::811596193553:user/Level6","255.0.85.253","aws-sdk-nodejs/2.331.0 linux/v8.11.2 callback"
"30","arn:aws:iam::811596193553:user/backup","235.252.135.251","aws-sdk-go/1.34.14 (go1.14.5; linux; amd64) APN/1.0 HashiCorp/1.0 Terraform/0.12.26 (+https://www.terraform.io)"
"30","arn:aws:iam::811596193553:user/backup","233.253.251.0","AWSPowerShell/3.3.542.0 .NET_Runtime/4.0 .NET_Framework/4.0 OS/Microsoft_Windows_NT_10.0.53329.0 WindowsPowerShell/5.0 ClientSync"
"30","arn:aws:iam::811596193553:user/backup","14.226.22.8","Boto3/1.9.169 Python/3.5.3 Linux/4.9.0-6-amd64 Botocore/1.12.169"
"28","arn:aws:iam::811596193553:user/Level6","255.171.1.252","Boto3/1.14.33 Python/3.8.2 Linux/4.9.184-linuxkit Botocore/1.17.33"
"28","arn:aws:iam::811596193553:user/Level6","154.0.254.7","AWSPowerShell/3.3.563.1 .NET_Runtime/4.0 .NET_Framework/4.0 OS/Microsoft_Windows_NT_10.0.53329.0 WindowsPowerShell/5.0 ClientSync"
"27","arn:aws:iam::811596193553:user/Level6","0.188.7.172","Boto3/1.14.16 Python/3.8.3 Linux/5.6.0-kali2-amd64 Botocore/1.17.16"
"27","arn:aws:iam::811596193553:user/Level6","219.208.8.129","Boto3/1.12.43 Python/3.8.5 Linux/5.7.0-kali1-amd64 Botocore/1.15.49"
"27","arn:aws:iam::811596193553:user/backup","92.9.251.253","Scout Suite/5.10.0 Python/3.7.3 Linux/4.4.0-039049-Microsoft Scout Suite/5.10.0 (https://github.com/nccgroup/ScoutSuite)"
"27","arn:aws:iam::811596193553:user/backup","219.208.8.129","Boto3/1.12.43 Python/3.8.5 Linux/5.7.0-kali1-amd64 Botocore/1.15.49"
"27","arn:aws:iam::811596193553:user/backup","4.202.254.251","Boto3/1.14.28 Python/3.8.3 Linux/5.6.0-2parrot1-amd64 Botocore/1.17.28"
"26","arn:aws:iam::811596193553:user/backup","197.46.1.247","Boto3/1.12.39 Python/3.7.6 Linux/4.14.154-128.181.amzn2.x86_64 Botocore/1.15.39"
"26","arn:aws:iam::811596193553:user/backup","56.96.46.239","Boto3/1.9.169 Python/3.5.3 Linux/4.9.0-6-amd64 Botocore/1.12.169"
"26","arn:aws:iam::811596193553:user/Level6","43.106.252.232","Boto3/1.12.39 Python/3.7.7 Linux/5.4.0-kali3-amd64 Botocore/1.15.39"
"26","arn:aws:iam::811596193553:user/backup","235.129.111.105","Boto3/1.15.6 Python/3.8.2 Linux/5.4.0-48-generic Botocore/1.18.6"
"26","arn:aws:iam::811596193553:user/backup","12.221.220.121","Boto3/1.12.31 Python/3.7.7 Linux/5.3.0-kali2-amd64 Botocore/1.15.31"
"26","arn:aws:iam::811596193553:user/backup","204.111.252.51","Boto3/1.13.7 Python/3.8.2 Linux/5.5.0-kali2-amd64 Botocore/1.15.46"
"25","arn:aws:iam::811596193553:user/backup","2.206.42.203","Boto3/1.9.62 Python/2.7.15+ Linux/4.18.0-kali1-amd64 Botocore/1.12.62"
"25","arn:aws:iam::811596193553:user/backup","24.98.217.15","aws-cli/1.11.170 Python/3.6.2 Linux/4.13.7-1-ARCH botocore/1.7.28"
"25","arn:aws:iam::811596193553:user/backup","255.171.1.252","aws-sdk-nodejs/2.653.0 linux/v12.15.0 callback"
"24","arn:aws:iam::811596193553:user/backup","237.5.197.10","aws-cli/1.16.193 Python/2.7.16 Linux/4.4.0-039049-Microsoft botocore/1.12.183"
"24","arn:aws:iam::811596193553:user/Level6","132.139.200.24","Boto3/1.11.13 Python/3.7.6 Linux/5.4.0-kali3-amd64 Botocore/1.14.13"
"24","arn:aws:iam::811596193553:user/backup","6.6.251.67","AWSPowerShell/3.3.542.0 .NET_Runtime/4.0 .NET_Framework/4.0 OS/Microsoft_Windows_NT_10.0.53329.0 WindowsPowerShell/5.0 ClientSync"
"24","arn:aws:iam::811596193553:user/Level6","134.146.35.9","Boto3/1.11.0 Python/3.6.9 Linux/5.0.0-36-generic Botocore/1.14.0"
"24","arn:aws:iam::811596193553:user/Level6","5.46.111.154","Boto3/1.11.16 Python/3.7.6 Linux/5.4.0-kali3-amd64 Botocore/1.14.16"
"24","arn:aws:iam::811596193553:user/backup","250.32.254.129","Boto3/1.11.1 Python/3.7.5 Linux/5.3.0-kali2-amd64 Botocore/1.14.1"
"24","arn:aws:iam::811596193553:user/backup","4.8.249.181","Boto3/1.9.134 Python/3.6.7 Linux/4.9.125-linuxkit Botocore/1.12.134"
"24","arn:aws:iam::811596193553:user/backup","237.87.246.92","Boto3/1.12.26 Python/3.7.6 Linux/5.4.0-kali3-amd64 Botocore/1.15.26"
"24","arn:aws:sts::811596193553:assumed-role/flaws/i-aa2d3b42e5c6e801a","132.139.200.24","Boto3/1.11.13 Python/3.7.6 Linux/5.4.0-kali3-amd64 Botocore/1.14.13"
"23","arn:aws:iam::811596193553:user/backup","128.59.226.123","Boto3/1.9.236 Python/3.6.7 Linux/4.15.0-45-generic Botocore/1.12.236"
"23","arn:aws:iam::811596193553:user/Level6","128.59.226.123","Boto3/1.9.236 Python/3.6.7 Linux/4.15.0-45-generic Botocore/1.12.236"
"21","arn:aws:iam::811596193553:user/backup","206.251.118.76","aws-cli/1.14.44 Python/3.6.7 Linux/4.15.0-43-generic botocore/1.8.48"
"20","arn:aws:iam::811596193553:user/backup","202.218.216.253","aws-cli/1.11.55 Python/2.7.10 Linux/4.2.0-42-generic botocore/1.5.18"
"20","arn:aws:iam::811596193553:user/backup","211.111.151.81","aws-cli/1.16.202 Python/2.7.13 Linux/4.9.0-9-amd64 botocore/1.12.192"
"19","arn:aws:iam::811596193553:user/backup","254.86.86.206","aws-cli/1.11.13 Python/3.5.3 Linux/4.9.0-8-amd64 botocore/1.4.70"
"19","arn:aws:iam::811596193553:user/Level6","255.171.1.252","aws-sdk-nodejs/2.653.0 linux/v12.15.0 callback"
"19","arn:aws:iam::811596193553:user/backup","32.240.254.7","aws-cli/1.14.44 Python/3.6.7 Linux/4.15.0-43-generic botocore/1.8.48"
"18","arn:aws:iam::811596193553:user/Level6","47.219.205.247","aws-cli/1.18.106 Python/2.7.12 Linux/4.4.0-64-generic botocore/1.17.29"
"18","arn:aws:iam::811596193553:user/backup","154.0.254.7","AWSPowerShell/3.3.542.0 .NET_Runtime/4.0 .NET_Framework/4.0 OS/Microsoft_Windows_NT_10.0.53329.0 WindowsPowerShell/5.0 ClientSync"
"18","arn:aws:iam::811596193553:user/backup","251.12.8.223","aws-cli/1.16.113 Python/3.6.6 Linux/4.18.0-kali2-amd64 botocore/1.12.103"
"18","arn:aws:iam::811596193553:user/Level6","255.171.1.252","Botocore/1.15.31 Python/3.8.2 Linux/4.9.184-linuxkit"
"18","arn:aws:iam::811596193553:user/backup","112.220.75.75","aws-cli/1.14.44 Python/3.6.7 Linux/4.15.0-43-generic botocore/1.8.48"
"17","arn:aws:iam::811596193553:user/backup","5.108.87.250","aws-sdk-go/1.23.15 (go1.12.6; linux; amd64) APN/1.0 HashiCorp/1.0 Terraform/0.12.7"
"16","arn:aws:iam::811596193553:user/backup","3.242.124.120","aws-cli/1.14.44 Python/3.6.5rc1 Linux/4.14.0-kali3-amd64 botocore/1.8.48"
"16","arn:aws:iam::811596193553:user/backup","2.7.1.1","aws-cli/1.18.5 Python/3.6.9 Linux/4.15.0-72-generic botocore/1.15.5"
"16","arn:aws:iam::811596193553:user/backup","2.231.90.242","Boto3/1.7.4 Python/3.7.2+ Linux/4.4.0-01985-Microsoft Botocore/1.10.4"
"16","arn:aws:iam::811596193553:user/backup","61.241.251.254","aws-sdk-go/1.4.10 (go1.7.4; linux; amd64)"
"16","arn:aws:iam::811596193553:user/backup","5.3.205.235","APN/1.0 HashiCorp/1.0 Terraform/0.9.0"
"15","arn:aws:iam::811596193553:user/Level6","221.177.5.6","Boto3/1.7.42 Python/2.7.12 Linux/4.4.0-131-generic Botocore/1.10.42"
"15","arn:aws:iam::811596193553:user/backup","221.177.5.6","Boto3/1.7.42 Python/2.7.12 Linux/4.4.0-131-generic Botocore/1.10.42"
"15","arn:aws:iam::811596193553:user/backup","253.84.252.126","aws-cli/1.16.102 Python/2.7.16 Linux/4.14.154-128.181.amzn2.x86_64 botocore/1.12.92"
"15","arn:aws:iam::811596193553:user/Level6","255.171.1.252","Boto3/1.7.4 Python/3.8.2 Linux/4.9.184-linuxkit Botocore/1.10.4"
"15","arn:aws:iam::811596193553:user/Level6","223.201.202.7","aws-sdk-go/1.22.0 (go1.13; darwin; amd64) APN/1.0 HashiCorp/1.0 Terraform/0.12.9"
"14","arn:aws:iam::811596193553:user/Level6","86.1.86.209","aws-cli/1.16.130 Python/2.7.15rc1 Linux/4.15.0-47-generic botocore/1.12.120"
